index,court_rule_1,court_rule_2,court_rule_3,court_rule_4,court_rule_5,court_rule_6,court_rule_7,court_rule_8,court_rule_9,court_rule_10
'0000,B,A,D,C,C,,,,,
'0001,C,D,D,D,B,C,C,A,,
'0002,A,B,A,A,D,B,A,A,,
'0003,B,D,A,C,A,,,,,
'0004,A,C,C,A,B,B,D,D,B,D
'0005,B,A,D,C,C,A,D,C,B,A
'0006,D,A,B,A,,,,,,
'0007,D,D,B,B,C,,,,,
'0008,A,C,A,A,A,B,D,,,
'0009,A,A,B,C,,,,,,
'0010,A,D,C,B,,,,,,
'0011,C,C,A,C,C,A,A,A,A,
'0012,C,C,B,C,B,A,B,A,,
'0013,B,B,A,C,B,B,D,A,A,
'0014,C,C,A,A,D,B,A,D,,
'0015,D,D,D,B,A,C,,,,
'0016,D,B,D,D,D,,,,,
'0017,D,C,A,A,D,A,D,,,
'0018,A,B,A,C,,,,,,
'0019,A,A,A,B,D,D,C,A,,
'0020,A,A,D,C,D,A,C,A,C,
'0021,A,A,A,C,A,B,B,A,,
'0022,A,A,A,B,C,C,B,D,C,
'0023,C,D,A,C,D,B,B,A,,
'0024,B,A,A,C,A,A,B,A,D,A
'0025,B,A,C,D,C,C,,,,
'0026,C,A,D,B,,,,,,
'0027,C,D,C,A,B,C,A,B,A,A
'0028,A,A,A,B,A,A,B,A,,
'0029,D,A,B,C,B,,,,,
'0030,A,D,C,D,B,D,B,A,B,C
'0031,C,D,A,D,,,,,,
'0032,A,A,A,C,A,B,C,D,C,B
'0033,B,C,C,B,C,A,D,C,,
'0034,B,D,A,B,C,A,,,,
'0035,A,A,A,B,D,A,A,B,A,C
'0036,C,D,D,A,,,,,,
'0037,B,A,A,A,B,,,,,
'0038,C,B,B,A,D,B,D,A,A,
'0039,B,B,D,C,,,,,,
'0040,D,A,C,A,,,,,,
'0041,D,A,A,D,C,,,,,
'0042,B,C,A,C,C,D,B,C,D,D
'0043,D,A,D,D,A,A,B,D,A,A
'0044,C,C,A,C,D,A,C,A,C,D
'0045,C,B,A,A,,,,,,
'0046,A,B,B,A,B,C,B,,,
'0047,B,C,A,A,A,B,A,C,,
'0048,B,B,C,A,A,B,A,C,B,
'0049,B,A,D,B,C,C,,,,
'0050,B,D,B,A,A,C,,,,
'0051,B,D,A,C,B,C,A,B,,
'0052,B,C,A,C,A,A,B,,,
'0053,A,A,A,D,A,C,B,C,D,
'0054,D,D,D,A,C,C,C,C,A,D
'0055,D,B,A,B,B,A,C,A,,
'0056,D,D,C,D,C,A,A,B,A,
'0057,A,A,B,D,A,A,,,,
'0058,A,C,B,A,B,,,,,
'0059,D,C,A,A,,,,,,
'0060,B,C,A,A,,,,,,
'0061,B,D,D,A,A,B,A,A,,
'0062,D,B,C,A,A,A,A,D,D,B
'0063,D,A,A,D,B,,,,,
'0064,B,B,A,B,A,,,,,
'0065,C,A,B,C,D,A,,,,
'0066,A,A,D,B,B,C,A,,,
'0067,A,C,C,D,A,A,C,C,C,D
'0068,D,A,A,C,A,B,C,C,,
'0069,B,B,B,C,A,,,,,
'0070,A,D,B,B,D,D,C,A,B,
'0071,D,D,C,D,C,A,A,A,A,A
'0072,A,D,A,A,D,D,A,C,A,
'0073,A,A,A,B,B,A,A,B,C,
'0074,A,A,D,B,A,,,,,
'0075,C,A,A,B,A,A,A,,,
'0076,A,B,C,D,D,C,A,A,,
'0077,A,B,A,A,A,B,C,C,D,C
'0078,A,D,A,C,C,,,,,
'0079,C,D,A,B,C,A,C,C,A,
'0080,D,D,A,B,,,,,,
'0081,C,B,D,A,C,A,,,,
'0082,A,B,A,A,C,D,D,D,B,
'0083,B,D,A,C,,,,,,
'0084,D,A,C,C,B,,,,,
'0085,C,A,D,D,B,B,A,A,D,
'0086,D,C,B,B,C,C,A,,,
'0087,D,D,B,A,C,B,C,D,C,
'0088,C,A,B,C,A,,,,,
'0089,D,C,A,C,C,,,,,
'0090,B,B,B,A,D,D,D,,,
'0091,A,D,C,A,C,C,D,A,,
'0092,C,D,D,D,A,D,D,,,
'0093,A,A,B,A,B,A,A,B,A,
'0094,C,D,B,A,A,C,C,D,B,A
'0095,A,A,D,D,B,C,A,D,C,
'0096,B,A,C,B,C,D,A,C,,
'0097,D,A,A,A,D,,,,,
'0098,C,C,D,C,D,A,A,,,
'0099,C,D,A,C,A,A,D,A,C,A
'0100,A,D,A,D,A,A,A,C,,
'0101,D,C,A,C,,,,,,
'0102,A,D,A,B,A,C,D,B,,
'0103,A,C,D,A,B,B,A,D,C,C
'0104,B,A,C,C,,,,,,
'0105,A,C,B,A,,,,,,
'0106,B,B,C,B,D,D,C,B,,
'0107,A,B,C,C,,,,,,
'0108,A,A,A,B,A,C,C,,,
'0109,A,A,A,D,C,B,,,,
'0110,C,B,D,D,C,A,B,B,,
'0111,A,C,A,D,A,A,,,,
'0112,A,B,D,A,B,B,,,,
'0113,B,A,A,C,D,C,,,,
'0114,A,A,B,D,A,C,B,,,
'0115,C,A,A,B,D,B,A,,,
'0116,A,A,A,A,D,B,C,C,C,
'0117,D,A,B,A,C,B,A,A,D,
'0118,A,D,C,B,B,A,D,C,,
'0119,B,D,B,C,D,A,A,A,B,
'0120,B,D,A,A,B,C,,,,
'0121,B,A,A,C,D,D,D,D,,
'0122,D,B,B,D,A,B,A,C,B,
'0123,B,B,D,D,C,,,,,
'0124,A,D,A,A,D,A,,,,
'0125,A,B,A,A,A,A,D,B,D,D
'0126,A,C,D,A,,,,,,
'0127,A,C,D,A,A,B,D,A,A,
'0128,B,D,B,D,A,A,A,A,C,D
'0129,A,C,B,B,C,C,D,A,,
'0130,D,C,A,A,D,B,,,,
'0131,C,A,C,A,A,A,,,,
'0132,D,A,B,C,B,B,D,C,C,
'0133,C,A,A,D,A,,,,,
'0134,C,B,C,C,C,,,,,
'0135,D,D,D,D,A,A,C,D,,
'0136,C,A,B,A,A,C,D,,,
'0137,D,A,D,B,A,B,B,D,C,
'0138,B,A,D,A,B,B,A,A,,
'0139,A,B,D,C,A,A,C,,,
'0140,D,D,D,D,D,,,,,
'0141,A,D,D,C,C,,,,,
'0142,A,B,A,A,A,D,A,,,
'0143,B,A,B,C,D,A,C,A,,
'0144,A,D,B,B,B,B,B,D,D,D
'0145,C,D,B,A,C,A,C,C,,
'0146,D,B,D,B,A,A,A,A,A,A
'0147,C,C,D,C,B,B,,,,
'0148,D,D,A,B,A,D,A,C,B,C
'0149,D,C,D,D,D,,,,,
'0150,A,D,D,A,C,B,B,B,A,D
'0151,A,B,A,B,C,A,D,D,D,A
'0152,B,D,C,B,D,A,D,A,B,
'0153,D,A,A,A,C,D,A,,,
'0154,D,D,C,C,C,A,A,C,A,D
'0155,D,C,C,A,,,,,,
'0156,C,A,A,B,A,A,A,,,
'0157,B,D,A,C,B,C,B,,,
'0158,A,A,A,A,B,A,B,A,A,
'0159,A,A,A,A,,,,,,
'0160,A,B,B,A,A,B,,,,
'0161,A,B,A,A,D,B,A,A,C,D
'0162,B,B,A,B,B,,,,,
'0163,D,A,C,C,A,B,,,,
'0164,A,A,D,A,B,D,D,,,
'0165,B,A,A,B,A,A,B,A,,
'0166,A,A,B,B,A,,,,,
'0167,A,A,D,C,,,,,,
'0168,D,C,D,A,A,A,C,,,
'0169,C,C,D,A,A,D,D,A,,
'0170,B,D,A,C,,,,,,
'0171,D,D,C,C,,,,,,
'0172,D,A,B,A,D,A,B,C,B,A
'0173,D,B,B,A,A,D,B,A,,
'0174,A,D,A,A,B,C,,,,
'0175,C,A,C,A,C,C,C,,,
'0176,D,A,C,A,D,D,A,,,
'0177,A,A,B,C,D,,,,,
'0178,A,D,A,D,A,A,A,,,
'0179,D,B,A,C,C,B,A,B,,
'0180,A,B,A,C,A,B,,,,
'0181,A,A,D,A,D,C,A,D,B,D
'0182,C,A,A,C,A,A,,,,
'0183,C,A,C,B,C,C,C,B,A,C
'0184,A,C,A,D,,,,,,
'0185,D,B,A,A,D,A,B,,,
'0186,A,A,D,B,A,A,A,B,,
'0187,B,C,C,D,C,C,,,,
'0188,A,A,C,D,A,C,B,B,A,A
'0189,B,B,A,A,C,C,B,C,C,
'0190,B,B,C,D,A,B,A,,,
'0191,A,A,C,B,C,B,,,,
'0192,A,A,D,A,A,C,A,D,B,
'0193,A,D,A,B,,,,,,
'0194,D,D,B,B,D,,,,,
'0195,C,C,A,A,B,B,D,C,,
'0196,B,D,B,B,B,D,D,A,B,D
'0197,D,B,A,B,A,B,,,,
'0198,C,B,D,A,,,,,,
'0199,C,A,B,A,A,,,,,
'0200,D,C,B,C,C,,,,,
'0201,A,A,C,D,A,A,A,C,,
'0202,C,A,A,A,B,A,C,D,B,
'0203,C,B,A,C,B,A,C,A,,
'0204,A,B,C,B,A,B,C,D,,
'0205,C,D,D,A,,,,,,
'0206,D,A,B,A,B,D,C,C,A,
'0207,B,B,C,C,C,A,D,,,
'0208,C,C,C,C,B,B,C,,,
'0209,D,A,A,C,,,,,,
'0210,C,A,A,B,D,A,C,C,,
'0211,C,B,A,D,C,D,D,D,,
'0212,A,C,C,A,,,,,,
'0213,C,A,D,D,D,A,A,A,,
'0214,D,A,A,A,A,A,B,D,,
'0215,C,A,A,B,A,A,C,B,A,
'0216,A,D,D,A,C,C,A,A,,
'0217,A,A,B,B,A,,,,,
'0218,C,A,C,C,B,B,D,B,,
'0219,D,D,A,A,A,B,C,A,,
'0220,A,A,D,C,A,B,C,B,D,A
'0221,D,B,D,B,C,A,B,B,,
'0222,B,A,A,A,,,,,,
'0223,D,A,A,A,C,,,,,
